col1,rain,col3,date,year,month,day,doy
"Feb 11, 2000",10.117,2000,2000-02-11,2000,2,11,42
"Feb 12, 2000",0,2000,2000-02-12,2000,2,12,43
"Feb 13, 2000",3.372,2000,2000-02-13,2000,2,13,44
"Feb 14, 2000",13.489,2000,2000-02-14,2000,2,14,45
"Feb 15, 2000",0,2000,2000-02-15,2000,2,15,46
"Feb 16, 2000",0,2000,2000-02-16,2000,2,16,47
"Feb 17, 2000",0,2000,2000-02-17,2000,2,17,48
"Feb 18, 2000",9.542,2000,2000-02-18,2000,2,18,49
"Feb 19, 2000",9.542,2000,2000-02-19,2000,2,19,50
"Feb 20, 2000",0,2000,2000-02-20,2000,2,20,51
"Feb 21, 2000",0,2000,2000-02-21,2000,2,21,52
"Feb 22, 2000",0,2000,2000-02-22,2000,2,22,53
"Feb 23, 2000",0,2000,2000-02-23,2000,2,23,54
"Feb 24, 2000",0,2000,2000-02-24,2000,2,24,55
"Feb 25, 2000",0,2000,2000-02-25,2000,2,25,56
"Feb 26, 2000",0,2000,2000-02-26,2000,2,26,57
"Feb 27, 2000",0,2000,2000-02-27,2000,2,27,58
"Feb 28, 2000",9.986,2000,2000-02-28,2000,2,28,59
"Feb 29, 2000",0,2000,2000-02-29,2000,2,29,60
"Mar 1, 2000",6.267,2000,2000-03-01,2000,3,1,61
"Mar 2, 2000",0,2000,2000-03-02,2000,3,2,62
"Mar 3, 2000",0,2000,2000-03-03,2000,3,3,63
"Mar 4, 2000",0,2000,2000-03-04,2000,3,4,64
"Mar 5, 2000",0,2000,2000-03-05,2000,3,5,65
"Mar 6, 2000",0,2000,2000-03-06,2000,3,6,66
"Mar 7, 2000",0,2000,2000-03-07,2000,3,7,67
"Mar 8, 2000",0,2000,2000-03-08,2000,3,8,68
"Mar 9, 2000",0,2000,2000-03-09,2000,3,9,69
"Mar 10, 2000",0,2000,2000-03-10,2000,3,10,70
"Mar 11, 2000",7.613,2000,2000-03-11,2000,3,11,71
"Mar 12, 2000",7.613,2000,2000-03-12,2000,3,12,72
"Mar 13, 2000",0,2000,2000-03-13,2000,3,13,73
"Mar 14, 2000",0,2000,2000-03-14,2000,3,14,74
"Mar 15, 2000",0,2000,2000-03-15,2000,3,15,75
"Mar 16, 2000",5.528,2000,2000-03-16,2000,3,16,76
"Mar 17, 2000",5.528,2000,2000-03-17,2000,3,17,77
"Mar 18, 2000",0,2000,2000-03-18,2000,3,18,78
"Mar 19, 2000",0,2000,2000-03-19,2000,3,19,79
"Mar 20, 2000",2.764,2000,2000-03-20,2000,3,20,80
"Mar 21, 2000",0,2000,2000-03-21,2000,3,21,81
"Mar 22, 2000",2.834,2000,2000-03-22,2000,3,22,82
"Mar 23, 2000",0,2000,2000-03-23,2000,3,23,83
"Mar 24, 2000",0,2000,2000-03-24,2000,3,24,84
"Mar 25, 2000",0,2000,2000-03-25,2000,3,25,85
"Mar 26, 2000",0,2000,2000-03-26,2000,3,26,86
"Mar 27, 2000",8.125,2000,2000-03-27,2000,3,27,87
"Mar 28, 2000",12.187,2000,2000-03-28,2000,3,28,88
"Mar 29, 2000",0,2000,2000-03-29,2000,3,29,89
"Mar 30, 2000",0,2000,2000-03-30,2000,3,30,90
"Mar 31, 2000",0,2000,2000-03-31,2000,3,31,91
"Apr 1, 2000",0,2000,2000-04-01,2000,4,1,92
"Apr 2, 2000",0,2000,2000-04-02,2000,4,2,93
"Apr 3, 2000",19.026,2000,2000-04-03,2000,4,3,94
"Apr 4, 2000",19.026,2000,2000-04-04,2000,4,4,95
"Apr 5, 2000",0,2000,2000-04-05,2000,4,5,96
"Apr 6, 2000",0,2000,2000-04-06,2000,4,6,97
"Apr 7, 2000",4.3,2000,2000-04-07,2000,4,7,98
"Apr 8, 2000",21.498,2000,2000-04-08,2000,4,8,99
"Apr 9, 2000",4.3,2000,2000-04-09,2000,4,9,100
"Apr 10, 2000",0,2000,2000-04-10,2000,4,10,101
"Apr 11, 2000",0,2000,2000-04-11,2000,4,11,102
"Apr 12, 2000",0,2000,2000-04-12,2000,4,12,103
"Apr 13, 2000",0,2000,2000-04-13,2000,4,13,104
"Apr 14, 2000",0,2000,2000-04-14,2000,4,14,105
"Apr 15, 2000",0,2000,2000-04-15,2000,4,15,106
"Apr 16, 2000",0,2000,2000-04-16,2000,4,16,107
"Apr 17, 2000",0,2000,2000-04-17,2000,4,17,108
"Apr 18, 2000",6.53,2000,2000-04-18,2000,4,18,109
"Apr 19, 2000",0,2000,2000-04-19,2000,4,19,110
"Apr 20, 2000",13.06,2000,2000-04-20,2000,4,20,111
"Apr 21, 2000",24.138,2000,2000-04-21,2000,4,21,112
"Apr 22, 2000",0,2000,2000-04-22,2000,4,22,113
"Apr 23, 2000",0,2000,2000-04-23,2000,4,23,114
"Apr 24, 2000",0,2000,2000-04-24,2000,4,24,115
"Apr 25, 2000",0,2000,2000-04-25,2000,4,25,116
"Apr 26, 2000",0,2000,2000-04-26,2000,4,26,117
"Apr 27, 2000",0,2000,2000-04-27,2000,4,27,118
"Apr 28, 2000",0,2000,2000-04-28,2000,4,28,119
"Apr 29, 2000",0,2000,2000-04-29,2000,4,29,120
"Apr 30, 2000",0,2000,2000-04-30,2000,4,30,121
"May 1, 2000",0,2000,2000-05-01,2000,5,1,122
"May 2, 2000",15.351,2000,2000-05-02,2000,5,2,123
"May 3, 2000",0,2000,2000-05-03,2000,5,3,124
"May 4, 2000",0,2000,2000-05-04,2000,5,4,125
"May 5, 2000",0,2000,2000-05-05,2000,5,5,126
"May 6, 2000",0,2000,2000-05-06,2000,5,6,127
"May 7, 2000",0,2000,2000-05-07,2000,5,7,128
"May 8, 2000",0,2000,2000-05-08,2000,5,8,129
"May 9, 2000",0,2000,2000-05-09,2000,5,9,130
"May 10, 2000",12.826,2000,2000-05-10,2000,5,10,131
"May 11, 2000",9.231,2000,2000-05-11,2000,5,11,132
"May 12, 2000",18.462,2000,2000-05-12,2000,5,12,133
"May 13, 2000",27.693,2000,2000-05-13,2000,5,13,134
"May 14, 2000",0,2000,2000-05-14,2000,5,14,135
"May 15, 2000",0,2000,2000-05-15,2000,5,15,136
"May 16, 2000",0,2000,2000-05-16,2000,5,16,137
"May 17, 2000",0,2000,2000-05-17,2000,5,17,138
"May 18, 2000",14.541,2000,2000-05-18,2000,5,18,139
"May 19, 2000",19.388,2000,2000-05-19,2000,5,19,140
"May 20, 2000",0,2000,2000-05-20,2000,5,20,141
"May 21, 2000",0,2000,2000-05-21,2000,5,21,142
"May 22, 2000",16.386,2000,2000-05-22,2000,5,22,143
"May 23, 2000",0,2000,2000-05-23,2000,5,23,144
"May 24, 2000",16.386,2000,2000-05-24,2000,5,24,145
"May 25, 2000",0,2000,2000-05-25,2000,5,25,146
"May 26, 2000",0,2000,2000-05-26,2000,5,26,147
"May 27, 2000",0,2000,2000-05-27,2000,5,27,148
"May 28, 2000",2.663,2000,2000-05-28,2000,5,28,149
"May 29, 2000",2.663,2000,2000-05-29,2000,5,29,150
"May 30, 2000",0,2000,2000-05-30,2000,5,30,151
"May 31, 2000",0,2000,2000-05-31,2000,5,31,152
"Jun 1, 2000",0,2000,2000-06-01,2000,6,1,153
"Jun 2, 2000",8.915,2000,2000-06-02,2000,6,2,154
"Jun 3, 2000",0,2000,2000-06-03,2000,6,3,155
"Jun 4, 2000",0,2000,2000-06-04,2000,6,4,156
"Jun 5, 2000",0,2000,2000-06-05,2000,6,5,157
"Jun 6, 2000",16.276,2000,2000-06-06,2000,6,6,158
"Jun 7, 2000",0,2000,2000-06-07,2000,6,7,159
"Jun 8, 2000",0,2000,2000-06-08,2000,6,8,160
"Jun 9, 2000",8.138,2000,2000-06-09,2000,6,9,161
"Jun 10, 2000",0,2000,2000-06-10,2000,6,10,162
"Jun 11, 2000",17.941,2000,2000-06-11,2000,6,11,163
"Jun 12, 2000",17.941,2000,2000-06-12,2000,6,12,164
"Jun 13, 2000",0,2000,2000-06-13,2000,6,13,165
"Jun 14, 2000",0,2000,2000-06-14,2000,6,14,166
"Jun 15, 2000",17.941,2000,2000-06-15,2000,6,15,167
"Jun 16, 2000",7.755,2000,2000-06-16,2000,6,16,168
"Jun 17, 2000",7.755,2000,2000-06-17,2000,6,17,169
"Jun 18, 2000",7.755,2000,2000-06-18,2000,6,18,170
"Jun 19, 2000",0,2000,2000-06-19,2000,6,19,171
"Jun 20, 2000",0,2000,2000-06-20,2000,6,20,172
"Jun 21, 2000",6.728,2000,2000-06-21,2000,6,21,173
"Jun 22, 2000",6.728,2000,2000-06-22,2000,6,22,174
"Jun 23, 2000",0,2000,2000-06-23,2000,6,23,175
"Jun 24, 2000",0,2000,2000-06-24,2000,6,24,176
"Jun 25, 2000",6.728,2000,2000-06-25,2000,6,25,177
"Jun 26, 2000",0,2000,2000-06-26,2000,6,26,178
"Jun 27, 2000",0,2000,2000-06-27,2000,6,27,179
"Jun 28, 2000",12.503,2000,2000-06-28,2000,6,28,180
"Jun 29, 2000",0,2000,2000-06-29,2000,6,29,181
"Jun 30, 2000",0,2000,2000-06-30,2000,6,30,182
"Jul 1, 2000",0,2000,2000-07-01,2000,7,1,183
"Jul 2, 2000",0,2000,2000-07-02,2000,7,2,184
"Jul 3, 2000",21.224,2000,2000-07-03,2000,7,3,185
"Jul 4, 2000",0,2000,2000-07-04,2000,7,4,186
"Jul 5, 2000",0,2000,2000-07-05,2000,7,5,187
"Jul 6, 2000",0,2000,2000-07-06,2000,7,6,188
"Jul 7, 2000",0,2000,2000-07-07,2000,7,7,189
"Jul 8, 2000",0,2000,2000-07-08,2000,7,8,190
"Jul 9, 2000",17.448,2000,2000-07-09,2000,7,9,191
"Jul 10, 2000",0,2000,2000-07-10,2000,7,10,192
"Jul 11, 2000",0,2000,2000-07-11,2000,7,11,193
"Jul 12, 2000",0,2000,2000-07-12,2000,7,12,194
"Jul 13, 2000",0,2000,2000-07-13,2000,7,13,195
"Jul 14, 2000",0,2000,2000-07-14,2000,7,14,196
"Jul 15, 2000",47.743,2000,2000-07-15,2000,7,15,197
"Jul 16, 2000",0,2000,2000-07-16,2000,7,16,198
"Jul 17, 2000",0,2000,2000-07-17,2000,7,17,199
"Jul 18, 2000",0,2000,2000-07-18,2000,7,18,200
"Jul 19, 2000",0,2000,2000-07-19,2000,7,19,201
"Jul 20, 2000",0,2000,2000-07-20,2000,7,20,202
"Jul 21, 2000",0,2000,2000-07-21,2000,7,21,203
"Jul 22, 2000",0,2000,2000-07-22,2000,7,22,204
"Jul 23, 2000",0,2000,2000-07-23,2000,7,23,205
"Jul 24, 2000",0,2000,2000-07-24,2000,7,24,206
"Jul 25, 2000",0,2000,2000-07-25,2000,7,25,207
"Jul 26, 2000",0,2000,2000-07-26,2000,7,26,208
"Jul 27, 2000",0,2000,2000-07-27,2000,7,27,209
"Jul 28, 2000",0,2000,2000-07-28,2000,7,28,210
"Jul 29, 2000",0,2000,2000-07-29,2000,7,29,211
"Jul 30, 2000",0,2000,2000-07-30,2000,7,30,212
"Jul 31, 2000",0,2000,2000-07-31,2000,7,31,213
"Aug 1, 2000",0,2000,2000-08-01,2000,8,1,214
"Aug 2, 2000",0,2000,2000-08-02,2000,8,2,215
"Aug 3, 2000",11.562,2000,2000-08-03,2000,8,3,216
"Aug 4, 2000",0,2000,2000-08-04,2000,8,4,217
"Aug 5, 2000",0,2000,2000-08-05,2000,8,5,218
"Aug 6, 2000",0,2000,2000-08-06,2000,8,6,219
"Aug 7, 2000",17.652,2000,2000-08-07,2000,8,7,220
"Aug 8, 2000",0,2000,2000-08-08,2000,8,8,221
"Aug 9, 2000",0,2000,2000-08-09,2000,8,9,222
"Aug 10, 2000",17.652,2000,2000-08-10,2000,8,10,223
"Aug 11, 2000",0,2000,2000-08-11,2000,8,11,224
"Aug 12, 2000",0,2000,2000-08-12,2000,8,12,225
"Aug 13, 2000",0,2000,2000-08-13,2000,8,13,226
"Aug 14, 2000",0,2000,2000-08-14,2000,8,14,227
"Aug 15, 2000",0,2000,2000-08-15,2000,8,15,228
"Aug 16, 2000",0,2000,2000-08-16,2000,8,16,229
"Aug 17, 2000",0,2000,2000-08-17,2000,8,17,230
"Aug 18, 2000",0,2000,2000-08-18,2000,8,18,231
"Aug 19, 2000",0,2000,2000-08-19,2000,8,19,232
"Aug 20, 2000",0,2000,2000-08-20,2000,8,20,233
"Aug 21, 2000",0,2000,2000-08-21,2000,8,21,234
"Aug 22, 2000",0,2000,2000-08-22,2000,8,22,235
"Aug 23, 2000",19.087,2000,2000-08-23,2000,8,23,236
"Aug 24, 2000",0,2000,2000-08-24,2000,8,24,237
"Aug 25, 2000",0,2000,2000-08-25,2000,8,25,238
"Aug 26, 2000",0,2000,2000-08-26,2000,8,26,239
"Aug 27, 2000",0,2000,2000-08-27,2000,8,27,240
"Aug 28, 2000",0,2000,2000-08-28,2000,8,28,241
"Aug 29, 2000",0,2000,2000-08-29,2000,8,29,242
"Aug 30, 2000",0,2000,2000-08-30,2000,8,30,243
"Aug 31, 2000",0,2000,2000-08-31,2000,8,31,244
"Sep 1, 2000",0,2000,2000-09-01,2000,9,1,245
"Sep 2, 2000",8.047,2000,2000-09-02,2000,9,2,246
"Sep 3, 2000",8.047,2000,2000-09-03,2000,9,3,247
"Sep 4, 2000",0,2000,2000-09-04,2000,9,4,248
"Sep 5, 2000",0,2000,2000-09-05,2000,9,5,249
"Sep 6, 2000",0,2000,2000-09-06,2000,9,6,250
"Sep 7, 2000",0,2000,2000-09-07,2000,9,7,251
"Sep 8, 2000",0,2000,2000-09-08,2000,9,8,252
"Sep 9, 2000",0,2000,2000-09-09,2000,9,9,253
"Sep 10, 2000",0,2000,2000-09-10,2000,9,10,254
"Sep 11, 2000",0,2000,2000-09-11,2000,9,11,255
"Sep 12, 2000",0,2000,2000-09-12,2000,9,12,256
"Sep 13, 2000",40.044,2000,2000-09-13,2000,9,13,257
"Sep 14, 2000",0,2000,2000-09-14,2000,9,14,258
"Sep 15, 2000",0,2000,2000-09-15,2000,9,15,259
"Sep 16, 2000",0,2000,2000-09-16,2000,9,16,260
"Sep 17, 2000",0,2000,2000-09-17,2000,9,17,261
"Sep 18, 2000",0,2000,2000-09-18,2000,9,18,262
"Sep 19, 2000",0,2000,2000-09-19,2000,9,19,263
"Sep 20, 2000",0,2000,2000-09-20,2000,9,20,264
"Sep 21, 2000",0,2000,2000-09-21,2000,9,21,265
"Sep 22, 2000",0,2000,2000-09-22,2000,9,22,266
"Sep 23, 2000",24.435,2000,2000-09-23,2000,9,23,267
"Sep 24, 2000",0,2000,2000-09-24,2000,9,24,268
"Sep 25, 2000",0,2000,2000-09-25,2000,9,25,269
"Sep 26, 2000",4.924,2000,2000-09-26,2000,9,26,270
"Sep 27, 2000",0,2000,2000-09-27,2000,9,27,271
"Sep 28, 2000",0,2000,2000-09-28,2000,9,28,272
"Sep 29, 2000",0,2000,2000-09-29,2000,9,29,273
"Sep 30, 2000",0,2000,2000-09-30,2000,9,30,274
"Oct 1, 2000",0,2000,2000-10-01,2000,10,1,275
"Oct 2, 2000",0,2000,2000-10-02,2000,10,2,276
"Oct 3, 2000",0,2000,2000-10-03,2000,10,3,277
"Oct 4, 2000",9.137,2000,2000-10-04,2000,10,4,278
"Oct 5, 2000",9.137,2000,2000-10-05,2000,10,5,279
"Oct 6, 2000",25.319,2000,2000-10-06,2000,10,6,280
"Oct 7, 2000",0,2000,2000-10-07,2000,10,7,281
"Oct 8, 2000",0,2000,2000-10-08,2000,10,8,282
"Oct 9, 2000",0,2000,2000-10-09,2000,10,9,283
"Oct 10, 2000",0,2000,2000-10-10,2000,10,10,284
"Oct 11, 2000",0,2000,2000-10-11,2000,10,11,285
"Oct 12, 2000",0,2000,2000-10-12,2000,10,12,286
"Oct 13, 2000",0,2000,2000-10-13,2000,10,13,287
"Oct 14, 2000",0,2000,2000-10-14,2000,10,14,288
"Oct 15, 2000",0,2000,2000-10-15,2000,10,15,289
"Oct 16, 2000",0,2000,2000-10-16,2000,10,16,290
"Oct 17, 2000",0,2000,2000-10-17,2000,10,17,291
"Oct 18, 2000",28.444,2000,2000-10-18,2000,10,18,292
"Oct 19, 2000",0,2000,2000-10-19,2000,10,19,293
"Oct 20, 2000",0,2000,2000-10-20,2000,10,20,294
"Oct 21, 2000",0,2000,2000-10-21,2000,10,21,295
"Oct 22, 2000",0,2000,2000-10-22,2000,10,22,296
"Oct 23, 2000",0,2000,2000-10-23,2000,10,23,297
"Oct 24, 2000",3.449,2000,2000-10-24,2000,10,24,298
"Oct 25, 2000",0,2000,2000-10-25,2000,10,25,299
"Oct 26, 2000",0,2000,2000-10-26,2000,10,26,300
"Oct 27, 2000",0,2000,2000-10-27,2000,10,27,301
"Oct 28, 2000",0,2000,2000-10-28,2000,10,28,302
"Oct 29, 2000",0,2000,2000-10-29,2000,10,29,303
"Oct 30, 2000",0,2000,2000-10-30,2000,10,30,304
"Oct 31, 2000",0,2000,2000-10-31,2000,10,31,305
"Nov 1, 2000",0,2000,2000-11-01,2000,11,1,306
"Nov 2, 2000",0,2000,2000-11-02,2000,11,2,307
"Nov 3, 2000",0,2000,2000-11-03,2000,11,3,308
"Nov 4, 2000",0,2000,2000-11-04,2000,11,4,309
"Nov 5, 2000",0,2000,2000-11-05,2000,11,5,310
"Nov 6, 2000",0,2000,2000-11-06,2000,11,6,311
"Nov 7, 2000",0,2000,2000-11-07,2000,11,7,312
"Nov 8, 2000",0,2000,2000-11-08,2000,11,8,313
"Nov 9, 2000",0,2000,2000-11-09,2000,11,9,314
"Nov 10, 2000",0,2000,2000-11-10,2000,11,10,315
"Nov 11, 2000",0,2000,2000-11-11,2000,11,11,316
"Nov 12, 2000",0,2000,2000-11-12,2000,11,12,317
"Nov 13, 2000",17.416,2000,2000-11-13,2000,11,13,318
"Nov 14, 2000",0,2000,2000-11-14,2000,11,14,319
"Nov 15, 2000",0,2000,2000-11-15,2000,11,15,320
"Nov 16, 2000",0,2000,2000-11-16,2000,11,16,321
"Nov 17, 2000",0,2000,2000-11-17,2000,11,17,322
"Nov 18, 2000",0,2000,2000-11-18,2000,11,18,323
"Nov 19, 2000",0,2000,2000-11-19,2000,11,19,324
"Nov 20, 2000",0,2000,2000-11-20,2000,11,20,325
"Nov 21, 2000",0,2000,2000-11-21,2000,11,21,326
"Nov 22, 2000",0,2000,2000-11-22,2000,11,22,327
"Nov 23, 2000",0,2000,2000-11-23,2000,11,23,328
"Nov 24, 2000",0,2000,2000-11-24,2000,11,24,329
"Nov 25, 2000",5.946,2000,2000-11-25,2000,11,25,330
"Nov 26, 2000",7.127,2000,2000-11-26,2000,11,26,331
"Nov 27, 2000",0,2000,2000-11-27,2000,11,27,332
"Nov 28, 2000",0,2000,2000-11-28,2000,11,28,333
"Nov 29, 2000",0,2000,2000-11-29,2000,11,29,334
"Nov 30, 2000",14.255,2000,2000-11-30,2000,11,30,335
"Dec 1, 2000",0,2000,2000-12-01,2000,12,1,336
"Dec 2, 2000",0,2000,2000-12-02,2000,12,2,337
"Dec 3, 2000",0,2000,2000-12-03,2000,12,3,338
"Dec 4, 2000",0,2000,2000-12-04,2000,12,4,339
"Dec 5, 2000",3.954,2000,2000-12-05,2000,12,5,340
"Dec 6, 2000",0,2000,2000-12-06,2000,12,6,341
"Dec 7, 2000",0,2000,2000-12-07,2000,12,7,342
"Dec 8, 2000",0,2000,2000-12-08,2000,12,8,343
"Dec 9, 2000",0,2000,2000-12-09,2000,12,9,344
"Dec 10, 2000",0,2000,2000-12-10,2000,12,10,345
"Dec 11, 2000",0,2000,2000-12-11,2000,12,11,346
"Dec 12, 2000",0,2000,2000-12-12,2000,12,12,347
"Dec 13, 2000",0,2000,2000-12-13,2000,12,13,348
"Dec 14, 2000",10.737,2000,2000-12-14,2000,12,14,349
"Dec 15, 2000",0,2000,2000-12-15,2000,12,15,350
"Dec 16, 2000",5.321,2000,2000-12-16,2000,12,16,351
"Dec 17, 2000",13.302,2000,2000-12-17,2000,12,17,352
"Dec 18, 2000",0,2000,2000-12-18,2000,12,18,353
"Dec 19, 2000",2.66,2000,2000-12-19,2000,12,19,354
"Dec 20, 2000",0,2000,2000-12-20,2000,12,20,355
"Dec 21, 2000",0,2000,2000-12-21,2000,12,21,356
"Dec 22, 2000",0,2000,2000-12-22,2000,12,22,357
"Dec 23, 2000",0,2000,2000-12-23,2000,12,23,358
"Dec 24, 2000",0,2000,2000-12-24,2000,12,24,359
"Dec 25, 2000",0,2000,2000-12-25,2000,12,25,360
"Dec 26, 2000",0,2000,2000-12-26,2000,12,26,361
"Dec 27, 2000",0,2000,2000-12-27,2000,12,27,362
"Dec 28, 2000",0,2000,2000-12-28,2000,12,28,363
"Dec 29, 2000",0,2000,2000-12-29,2000,12,29,364
"Dec 30, 2000",6.387,2000,2000-12-30,2000,12,30,365
"Dec 31, 2000",2.129,2000,2000-12-31,2000,12,31,366
"Jan 1, 2001",0,2001,2001-01-01,2001,1,1,1
"Jan 2, 2001",0,2001,2001-01-02,2001,1,2,2
"Jan 3, 2001",0,2001,2001-01-03,2001,1,3,3
"Jan 4, 2001",0,2001,2001-01-04,2001,1,4,4
"Jan 5, 2001",4.218,2001,2001-01-05,2001,1,5,5
"Jan 6, 2001",0,2001,2001-01-06,2001,1,6,6
"Jan 7, 2001",0,2001,2001-01-07,2001,1,7,7
"Jan 8, 2001",0,2001,2001-01-08,2001,1,8,8
"Jan 9, 2001",0,2001,2001-01-09,2001,1,9,9
"Jan 10, 2001",0,2001,2001-01-10,2001,1,10,10
"Jan 11, 2001",0,2001,2001-01-11,2001,1,11,11
"Jan 12, 2001",0,2001,2001-01-12,2001,1,12,12
"Jan 13, 2001",0,2001,2001-01-13,2001,1,13,13
"Jan 14, 2001",2.298,2001,2001-01-14,2001,1,14,14
"Jan 15, 2001",1.149,2001,2001-01-15,2001,1,15,15
"Jan 16, 2001",0,2001,2001-01-16,2001,1,16,16
"Jan 17, 2001",0,2001,2001-01-17,2001,1,17,17
"Jan 18, 2001",0,2001,2001-01-18,2001,1,18,18
"Jan 19, 2001",9.916,2001,2001-01-19,2001,1,19,19
"Jan 20, 2001",0,2001,2001-01-20,2001,1,20,20
"Jan 21, 2001",3.924,2001,2001-01-21,2001,1,21,21
"Jan 22, 2001",0,2001,2001-01-22,2001,1,22,22
"Jan 23, 2001",0,2001,2001-01-23,2001,1,23,23
"Jan 24, 2001",0,2001,2001-01-24,2001,1,24,24
"Jan 25, 2001",0,2001,2001-01-25,2001,1,25,25
"Jan 26, 2001",0,2001,2001-01-26,2001,1,26,26
"Jan 27, 2001",3.707,2001,2001-01-27,2001,1,27,27
"Jan 28, 2001",0,2001,2001-01-28,2001,1,28,28
"Jan 29, 2001",0,2001,2001-01-29,2001,1,29,29
"Jan 30, 2001",11.12,2001,2001-01-30,2001,1,30,30
"Jan 31, 2001",0,2001,2001-01-31,2001,1,31,31
"Feb 1, 2001",0,2001,2001-02-01,2001,2,1,32
"Feb 2, 2001",0,2001,2001-02-02,2001,2,2,33
"Feb 3, 2001",0,2001,2001-02-03,2001,2,3,34
"Feb 4, 2001",2.072,2001,2001-02-04,2001,2,4,35
"Feb 5, 2001",2.072,2001,2001-02-05,2001,2,5,36
"Feb 6, 2001",0,2001,2001-02-06,2001,2,6,37
"Feb 7, 2001",0,2001,2001-02-07,2001,2,7,38
"Feb 8, 2001",1.362,2001,2001-02-08,2001,2,8,39
"Feb 9, 2001",6.808,2001,2001-02-09,2001,2,9,40
"Feb 10, 2001",2.723,2001,2001-02-10,2001,2,10,41
"Feb 11, 2001",0,2001,2001-02-11,2001,2,11,42
"Feb 12, 2001",0,2001,2001-02-12,2001,2,12,43
"Feb 13, 2001",0,2001,2001-02-13,2001,2,13,44
"Feb 14, 2001",6.211,2001,2001-02-14,2001,2,14,45
"Feb 15, 2001",8.281,2001,2001-02-15,2001,2,15,46
"Feb 16, 2001",2.642,2001,2001-02-16,2001,2,16,47
"Feb 17, 2001",0,2001,2001-02-17,2001,2,17,48
"Feb 18, 2001",0,2001,2001-02-18,2001,2,18,49
"Feb 19, 2001",0,2001,2001-02-19,2001,2,19,50
"Feb 20, 2001",0,2001,2001-02-20,2001,2,20,51
"Feb 21, 2001",0,2001,2001-02-21,2001,2,21,52
"Feb 22, 2001",2.796,2001,2001-02-22,2001,2,22,53
"Feb 23, 2001",0,2001,2001-02-23,2001,2,23,54
"Feb 24, 2001",0,2001,2001-02-24,2001,2,24,55
"Feb 25, 2001",8.389,2001,2001-02-25,2001,2,25,56
"Feb 26, 2001",0,2001,2001-02-26,2001,2,26,57
"Feb 27, 2001",0,2001,2001-02-27,2001,2,27,58
"Feb 28, 2001",0,2001,2001-02-28,2001,2,28,59
"Mar 1, 2001",0,2001,2001-03-01,2001,3,1,60
"Mar 2, 2001",0,2001,2001-03-02,2001,3,2,61
"Mar 3, 2001",0,2001,2001-03-03,2001,3,3,62
"Mar 4, 2001",0,2001,2001-03-04,2001,3,4,63
"Mar 5, 2001",0,2001,2001-03-05,2001,3,5,64
"Mar 6, 2001",0,2001,2001-03-06,2001,3,6,65
